,Employee_ID,Employee_Name,Age,Gender, MaritalStatus,Hire Date,Department,Position,Education,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobSatisfaction,Annual_Income,RelationshipSatisfaction,Working_hrs_perday,TotalWorkingYearsexperience,TrainingTimeinmonths,WorkLifeBalance,Behaviourial_Competence,OntimeDelivery,TicketSolvingManagements,Project_evlaution,Working_from_home,Psycho-social_indicators,overtime,PercentSalaryHike,Netconnectivity,PerformanceRating
16,1016,David Johnson,22,male,Married,03-03-2006,Development,Developer,Life Sciences,High,Low,4,Medium,20,Medium,9,11,2,Best,Satisfactory,Good,satistfactory,4,No,Outstanding,1,16,Poor,good
17,1017,Lisa Miller DVM,28,male,Single,04-12-1993,Sales,Sales Executive,Technical Degree,High,Medium,4,Medium,6,Low,8,5,1,Bad,Verygood,Good,Excellent,8,Yes,good,0,13,Good,good
18,1018,Mario Martinez,29,Female,Married,09-12-2015,Sales,Sales Executive,Marketing,High,Very_High,2,Very_High,25,Low,10,21,3,Bad,poor,Good,fair,4,Yes,low,1,2,Good,good
19,1019,Michael Robinson,31,Female,Married,21-09-2015,Development,Developer,Life Sciences,Medium,Very_High,5,Low,22,High,10,16,5,Better,Satisfactory,Outstanding,poor,4,No,low,0,12,Poor,Outstanding
20,1020,Janet Byrd,29,Female,Married,06-12-1998,Development,Developer,Life Sciences,Medium,High,2,High,20,High,10,14,5,Bad,Satisfactory,Excellent,good,4,No,low,0,16,Poor,Excellent
21,1021,Sierra Hawkins,44,Female,Single,16-04-2006,Sales,Sales Executive,Marketing,Low,Medium,1,High,6,Low,10,1,1,Good,In-adequate,Good,satistfactory,14,No,Outstanding,1,4,Poor,good
22,1022,Linda Martin,35,male,Single,27-04-2015,Human Resources,Human Resources,Human Resources,High,Medium,5,Medium,25,High,9,25,4,Bad,In-adequate,Outstanding,good,6,Yes,low,1,10,Good,Outstanding
23,1023,Justin Buck,20,male,Married,09-10-2002,Sales,Sales Executive,Marketing,Very_High,Very_High,5,Very_High,25,Low,10,25,6,Best,In-adequate,Satisfactory,Excellent,5,Yes,low,0,6,Good,low
24,1024,Hector Miller,20,Female,Single,26-04-1998,Sales,Sales Executive,Medical,Medium,Very_High,3,High,25,High,9,25,1,Better,Verygood,Excellent,fair,11,Yes,Outstanding,1,7,Good,Excellent
25,1025,Trevor Williams,52,Female,Married,03-03-2003,Sales,Sales Executive,Marketing,Very_High,Low,5,Medium,20,Medium,9,13,5,Best,Excellent,Outstanding,satistfactory,4,Yes,Excellent,0,11,Good,Outstanding
26,1026,Christopher Patterson,27,male,Married,19-11-2007,Sales,Manager,Marketing,Very_High,Very_High,2,Low,6,Very_High,9,3,3,Better,good,Excellent,fair,12,Yes,good,1,12,Good,Excellent
27,1027,Phillip Moody,35,male,Married,08-05-2013,Development,Developer,Life Sciences,Low,Very_High,1,High,20,Very_High,8,13,4,Best,Verygood,Outstanding,poor,4,No,Outstanding,1,2,Poor,Outstanding
28,1028,James Caldwell,34,Female,Married,28-05-2015,Sales,Sales Executive,Marketing,Low,Medium,5,Medium,22,Low,8,16,1,Good,Satisfactory,Excellent,poor,5,Yes,Excellent,0,14,Good,Excellent
29,1029,Michael Ward,20,male,Married,06-01-2015,Sales,Sales Executive,Marketing,High,High,3,Low,20,High,8,12,4,Bad,Verygood,Outstanding,poor,12,Yes,good,0,2,Good,Outstanding
30,1030,Christopher Jordan,26,Female,Married,19-07-2008,Sales,Sales Executive,Marketing,Medium,Medium,1,Low,22,High,9,16,6,Good,Verygood,Excellent,satistfactory,6,Yes,Excellent,0,3,Good,Excellent
31,1031,Patrick Peters,46,male,Married,21-10-2012,Human Resources,Human Resources,Medical,Low,Medium,1,Medium,6,High,8,4,2,Bad,Satisfactory,Good,good,11,Yes,good,0,11,Good,good
32,1032,Thomas Richards DDS,37,male,Single,10-04-2010,Development,Developer,Life Sciences,High,Very_High,5,High,22,High,9,19,4,Better,Satisfactory,Excellent,satistfactory,13,Yes,Outstanding,1,9,Good,Excellent
33,1033,Scott Orr,46,Female,Single,01-09-2018,Sales,Sales Executive,Other,Low,Very_High,3,Medium,20,High,8,11,1,Bad,poor,Outstanding,Excellent,12,Yes,low,0,8,Good,Outstanding
34,1034,Heather Orr,51,male,Divorsed,12-10-1993,Development,Developer,Life Sciences,Very_High,Medium,5,Low,12,Low,9,7,4,Best,Excellent,Outstanding,Excellent,5,Yes,low,0,4,Good,Outstanding
35,1035,Jacob Gonzalez,32,Female,Married,11-05-2019,Sales,Sales Representative,Marketing,Low,High,2,Low,22,High,9,16,6,Better,poor,Excellent,Excellent,12,No,low,1,10,Poor,Excellent
36,1036,Robert Vargas,58,male,Divorsed,18-04-2004,Sales,Sales Executive,Marketing,Medium,Very_High,2,Medium,6,Very_High,10,2,2,Better,Verygood,Outstanding,fair,12,Yes,good,0,11,Good,Outstanding
37,1037,Brittany Hall,25,Female,Divorsed,17-04-2018,Sales,Sales Representative,Medical,Medium,High,2,High,25,Very_High,9,22,4,Good,In-adequate,Excellent,good,4,No,Outstanding,0,10,Poor,Excellent
38,1038,Marc Boyer,55,male,Married,06-09-2008,Sales,Sales Executive,Marketing,Low,Medium,4,High,6,Very_High,10,2,1,Better,Satisfactory,Excellent,good,13,No,Outstanding,0,4,Poor,Excellent
39,1039,Kevin Lam,49,male,Single,23-05-2012,Sales,Sales Executive,Medical,Very_High,Medium,4,Medium,22,Medium,8,17,6,Better,good,Outstanding,satistfactory,9,Yes,Excellent,1,16,Good,Outstanding
40,1040,Amanda Briggs,53,Female,Single,04-01-1994,Development,Developer,Life Sciences,Very_High,High,3,Very_High,6,High,9,4,1,Better,Satisfactory,Good,poor,8,No,Outstanding,0,13,Poor,good
41,1041,David Myers,22,Female,Single,19-10-2009,Human Resources,Human Resources,Human Resources,High,Medium,5,High,25,Very_High,10,22,2,Better,poor,Excellent,good,8,Yes,Outstanding,0,6,Good,Excellent
42,1042,Tyler Warner,54,male,Single,23-02-2011,Sales,Sales Representative,Medical,Medium,Low,2,High,25,High,9,22,3,Bad,poor,Outstanding,good,4,Yes,Outstanding,1,13,Good,Outstanding
43,1043,Jessica Parker,21,Female,Single,26-10-2001,Development,Developer,Life Sciences,Medium,Very_High,2,High,22,Very_High,8,18,5,Best,Excellent,Excellent,Excellent,6,Yes,Outstanding,1,11,Good,Excellent
44,1044,Todd Harris,53,male,Divorsed,04-04-2018,Sales,Sales Executive,Medical,Very_High,Medium,4,Very_High,20,Very_High,10,12,6,Better,Excellent,Satisfactory,fair,4,No,low,0,6,Poor,low
45,1045,Ryan Nguyen,36,male,Married,27-06-2011,Development,Developer,Life Sciences,Medium,Medium,3,High,25,Medium,10,24,1,Better,poor,Outstanding,poor,8,No,Outstanding,0,12,Poor,Outstanding
46,1046,Gina Gonzalez,32,male,Married,27-01-2006,Sales,Sales Executive,Marketing,Low,High,5,Medium,6,Very_High,10,1,5,Good,good,Satisfactory,poor,5,Yes,good,1,16,Good,low
47,1047,Melissa Jenkins,27,male,Single,15-12-2018,Sales,Sales Representative,Marketing,Low,Very_High,2,Very_High,22,Very_High,8,19,5,Good,good,Outstanding,good,13,No,low,0,8,Poor,Outstanding
48,1048,Peter Ward,45,male,Married,12-07-2018,Sales,Sales Representative,Other,Medium,High,2,Medium,25,Very_High,8,22,6,Bad,In-adequate,Outstanding,good,14,No,Outstanding,1,12,Poor,Outstanding
49,1049,Isaac Taylor,45,male,Married,02-11-2015,Development,Developer,Life Sciences,Low,Low,1,Medium,6,Low,8,1,3,Best,Verygood,Excellent,poor,7,Yes,low,0,6,Good,Excellent
50,1050,Mrs. Danielle Lloyd,48,male,Married,15-05-1995,Development,Developer,Life Sciences,High,Medium,3,Medium,35,High,10,10,3,Better,good,Satisfactory,good,5,Yes,Excellent,1,13,Good,low
51,1051,Joe Holmes,24,Female,Divorsed,07-01-2008,Sales,Sales Representative,Technical Degree,Low,Low,2,Medium,6,Very_High,10,2,3,Good,In-adequate,Excellent,fair,7,No,good,1,7,Poor,Excellent
52,1052,Andrew Flores,32,male,Divorsed,15-05-1994,Sales,Sales Executive,Medical,Very_High,Medium,3,High,22,Very_High,10,18,2,Bad,Satisfactory,Good,poor,6,No,good,0,1,Poor,good
53,1053,Debra Soto,46,male,Divorsed,10-11-1998,Sales,Manager,Medical,High,High,2,Medium,20,High,10,11,4,Best,Satisfactory,Good,Excellent,8,Yes,Excellent,1,12,Good,good
54,1054,Christopher Garza,20,Female,Married,11-01-2010,Sales,Sales Executive,Other,Medium,Low,5,Medium,25,High,8,25,4,Better,Satisfactory,Good,good,4,No,Outstanding,0,3,Poor,good
55,1055,Maria Campbell,39,Female,Married,18-11-2009,Development,Developer,Life Sciences,Medium,Medium,5,Very_High,6,Medium,9,3,2,Better,poor,Excellent,poor,6,No,Outstanding,1,5,Poor,Excellent
56,1056,Luis Jones,26,male,Divorsed,23-11-2001,Development,Developer,Life Sciences,Very_High,Medium,1,Very_High,22,Very_High,10,17,1,Better,good,Excellent,fair,5,Yes,Outstanding,1,2,Good,Excellent
57,1057,Jay Robinson,21,male,Single,08-04-2011,Development,Developer,Life Sciences,Very_High,High,4,Low,6,Very_High,9,2,2,Good,good,Excellent,poor,4,Yes,Outstanding,0,6,Good,Excellent
58,1058,David Patrick,47,Female,Married,23-04-2007,Sales,Sales Executive,Technical Degree,Very_High,High,3,Medium,25,Medium,8,23,6,Best,poor,Outstanding,good,10,Yes,low,0,11,Good,Outstanding
59,1059,Claire Lewis,35,male,Divorsed,11-04-1999,Development,Developer,Life Sciences,Low,Medium,3,Very_High,20,Very_High,10,11,6,Good,good,Good,poor,9,No,good,1,1,Poor,good
60,1060,Dennis Garrett,47,Female,Married,06-05-2009,Development,Developer,Life Sciences,Low,Low,2,Very_High,12,Medium,8,9,6,Bad,Satisfactory,Outstanding,Excellent,10,Yes,good,0,5,Good,Outstanding
61,1061,Angela Hancock,57,male,Married,28-05-1996,Research & Development,Senior Manager R&D,Medical,Very_High,Medium,2,Medium,20,High,8,14,1,Best,In-adequate,Excellent,Excellent,10,Yes,low,0,13,Good,Excellent
62,1062,Caitlin Stephens,39,male,Single,26-11-1992,Research & Development,Laboratory Technician,Other,Very_High,Very_High,3,High,25,Medium,9,24,3,Better,Verygood,Good,poor,11,Yes,low,1,13,Good,good
63,1063,Gina Neal,23,Female,Single,18-11-2017,Development,Developer,Life Sciences,Medium,Very_High,3,Very_High,20,High,8,12,4,Best,Verygood,Outstanding,Excellent,11,No,Excellent,0,6,Poor,Outstanding
64,1064,Steven Estrada,30,male,Single,17-07-1993,Development,Developer,Life Sciences,Very_High,Medium,2,Medium,6,High,8,2,1,Good,Excellent,Good,fair,8,No,low,0,12,Poor,good
65,1065,Denise Perez,37,male,Single,12-03-1999,Research & Development,Senior Manager R&D,Technical Degree,Low,High,2,Low,22,Medium,8,20,6,Better,Excellent,Outstanding,Excellent,14,Yes,Excellent,1,2,Good,Outstanding
66,1066,Amy Schroeder,21,male,Single,26-05-1999,Research & Development,Healthcare Representative,Medical,Medium,Very_High,5,Low,22,Very_High,10,20,4,Good,good,Satisfactory,good,11,Yes,low,1,10,Good,low
67,1067,Dawn Cardenas,22,male,Married,15-07-1995,Development,Developer,Life Sciences,Low,High,5,Medium,6,Very_High,9,5,5,Bad,Verygood,Good,Excellent,6,Yes,Outstanding,1,1,Good,good
68,1068,Stacey Cooper,49,male,Divorsed,22-10-2021,Research & Development,Senior Manager R&D,Medical,Very_High,High,2,Medium,22,Medium,10,18,1,Best,good,Good,satistfactory,8,No,Excellent,0,12,Poor,good
69,1069,Dakota Smith,32,male,Married,30-10-2007,Development,Developer,Life Sciences,High,Low,5,Medium,6,Low,10,2,2,Good,good,Excellent,poor,10,Yes,low,0,1,Good,Excellent
70,1070,Susan Brown,35,Female,Single,29-06-2016,Development,Developer,Life Sciences,High,Medium,3,Low,25,High,8,22,2,Best,poor,Good,satistfactory,7,Yes,Excellent,0,15,Good,good
71,1071,Jillian Kelly,53,Female,Divorsed,09-10-2005,Development,Developer,Life Sciences,Low,Medium,4,Very_High,25,Medium,9,23,3,Bad,Verygood,Outstanding,good,7,Yes,Outstanding,1,9,Good,Outstanding
72,1072,Donna Harris,46,Female,Divorsed,10-06-2001,Research & Development,Manufacturing Director,Medical,Medium,Low,1,Low,12,Low,9,10,2,Better,good,Satisfactory,Excellent,5,No,good,1,6,Poor,low
73,1073,Mr. Gary Warren,33,Female,Single,11-09-2010,Research & Development,Manufacturing Director,Life Sciences,Medium,Low,4,Low,25,Very_High,8,25,5,Bad,Satisfactory,Satisfactory,good,7,Yes,Excellent,0,7,Good,low
74,1074,Andrea Martinez,46,male,Divorsed,23-12-2002,Research & Development,Senior Manager R&D,Life Sciences,Low,Medium,5,Very_High,22,High,9,17,3,Best,Verygood,Outstanding,poor,13,No,Excellent,1,4,Poor,Outstanding
75,1075,Charles Nguyen,45,Female,Single,20-06-2019,Research & Development,Laboratory Technician,Other,High,Very_High,1,Low,25,Low,9,24,2,Bad,Satisfactory,Outstanding,poor,4,No,Excellent,1,15,Poor,Outstanding
76,1076,Lindsey Ruiz,58,male,Married,12-04-2020,Sales,Manager,Marketing,Medium,High,4,Low,20,High,8,12,5,Best,good,Excellent,satistfactory,8,Yes,Excellent,1,7,Good,Excellent
77,1077,Mr. Matthew Klein,42,male,Divorsed,28-12-1993,Research & Development,Laboratory Technician,Life Sciences,Very_High,High,2,Low,20,Medium,9,15,2,Better,poor,Good,satistfactory,12,No,Excellent,1,5,Poor,good
78,1078,Shelia Palmer,45,male,Married,14-10-2006,Research & Development,Manufacturing Director,Life Sciences,Medium,High,4,Very_High,25,High,8,25,5,Better,poor,Good,Excellent,9,No,Excellent,0,10,Poor,good
79,1079,Jacqueline Burnett,49,male,Married,29-01-1994,Research & Development,Healthcare Representative,Medical,Very_High,Medium,5,Very_High,22,Low,8,18,6,Good,Excellent,Good,fair,12,No,good,0,4,Poor,good
80,1080,Diane Turner,52,Female,Married,18-07-2008,Research & Development,Research Director,Life Sciences,High,Medium,2,Low,6,High,8,5,5,Best,Verygood,Good,good,10,Yes,good,0,1,Good,good
81,1081,Donald Bautista,42,Female,Divorsed,20-03-2001,Sales,Sales Executive,Life Sciences,Low,High,1,High,6,Medium,10,2,2,Bad,poor,Good,fair,8,Yes,low,1,8,Good,good
82,1082,Stephen Friedman,31,Female,Married,12-06-2015,Sales,Sales Executive,Medical,High,High,1,Low,25,Very_High,9,25,5,Best,In-adequate,Excellent,Excellent,10,Yes,low,0,8,Good,Excellent
83,1083,John Lara,38,Female,Single,03-05-2004,Sales,Manager,Marketing,Low,Very_High,4,Very_High,12,Medium,8,8,4,Good,In-adequate,Satisfactory,Excellent,6,No,Excellent,0,1,Poor,low
84,1084,Cynthia Thornton,59,Female,Divorsed,21-04-2000,Sales,Sales Executive,Medical,Low,Low,4,Low,25,Low,10,22,5,Better,good,Excellent,good,12,Yes,low,0,14,Good,Excellent
85,1085,James Jordan,32,male,Single,28-06-1995,Sales,Sales Executive,Life Sciences,High,Medium,3,Very_High,20,High,8,12,5,Bad,Excellent,Good,satistfactory,8,Yes,Outstanding,0,10,Good,good
86,1086,Janet Harris,46,male,Married,01-02-2006,Research & Development,Manufacturing Director,Medical,High,Very_High,1,High,25,Low,8,22,6,Bad,In-adequate,Good,poor,4,No,Excellent,1,10,Poor,good
87,1087,Wayne Evans,35,male,Married,28-09-2006,Sales,Sales Representative,Life Sciences,Medium,Medium,4,High,25,High,9,22,4,Good,Verygood,Outstanding,satistfactory,9,Yes,Excellent,1,1,Good,Outstanding
88,1088,Kenneth Patton,53,male,Single,27-09-1999,Sales,Manager,Life Sciences,Very_High,Medium,1,Low,6,Very_High,9,4,6,Best,In-adequate,Outstanding,satistfactory,5,Yes,Excellent,1,7,Good,Outstanding
89,1089,Sandra Lewis,42,male,Married,30-03-2022,Research & Development,Senior Manager R&D,Medical,Very_High,Low,4,High,6,Low,9,5,4,Best,good,Good,satistfactory,10,No,low,0,4,Poor,good
90,1090,Lauren Adkins,50,Female,Single,23-05-2017,Sales,Sales Executive,Marketing,Very_High,Low,1,Low,22,High,10,20,2,Best,good,Satisfactory,poor,4,No,good,1,8,Poor,low
91,1091,April Sherman,46,Female,Single,13-04-2014,Sales,Manager,Technical Degree,Low,Very_High,1,Medium,12,Medium,8,7,5,Bad,poor,Good,fair,6,Yes,good,0,1,Good,good
92,1092,Tyler Hardy,50,male,Single,09-09-2018,Human Resources,Human Resources,Medical,Very_High,Very_High,4,Medium,22,Low,9,18,2,Best,good,Excellent,Excellent,5,No,Outstanding,0,5,Poor,Excellent
93,1093,Jason Davis,31,male,Married,01-04-1999,Research & Development,Laboratory Technician,Other,High,Low,3,High,22,Very_High,8,16,6,Good,Satisfactory,Excellent,good,13,Yes,Outstanding,1,13,Good,Excellent
94,1094,Laura Wells,56,male,Single,26-02-2012,Research & Development,Research Scientist,Life Sciences,Very_High,Medium,1,Medium,6,High,10,2,2,Best,good,Good,satistfactory,8,No,good,0,11,Poor,good
95,1095,Tiffany Decker,55,Female,Married,09-08-2012,Sales,Sales Representative,Medical,Very_High,Low,3,High,12,High,9,6,6,Bad,In-adequate,Satisfactory,Excellent,14,Yes,Outstanding,0,6,Good,low
96,1096,Brian Gonzalez,49,male,Single,27-08-1994,Research & Development,Senior Manager R&D,Other,High,Low,3,Very_High,6,Low,9,4,6,Bad,In-adequate,Satisfactory,good,4,No,good,0,8,Poor,low
97,1097,William Gonzalez,30,Female,Married,11-04-1997,Research & Development,Senior Manager R&D,Medical,High,Very_High,3,High,25,Low,10,24,1,Better,good,Outstanding,satistfactory,4,No,good,1,1,Poor,Outstanding
98,1098,Aaron Taylor,23,male,Divorsed,26-08-1993,Research & Development,Healthcare Representative,Other,Medium,Medium,3,Very_High,20,Medium,9,12,1,Good,Satisfactory,Satisfactory,satistfactory,4,No,Excellent,1,12,Poor,low
99,1099,Kyle Mahoney,50,male,Married,15-03-2022,Sales,Sales Executive,Marketing,High,Low,4,Medium,22,Very_High,10,17,2,Bad,good,Outstanding,poor,10,Yes,Outstanding,0,7,Good,Outstanding
100,1100,Joshua Rice,53,male,Married,10-05-2000,Research & Development,Research Scientist,Medical,High,Low,4,Low,6,Medium,10,4,5,Best,Satisfactory,Good,Excellent,6,Yes,low,1,12,Good,good
101,1101,Molly Ramirez,52,male,Married,17-09-2021,Development,Developer,Life Sciences,Medium,Very_High,5,High,22,High,10,19,6,Good,good,Good,Excellent,4,Yes,Outstanding,0,13,Good,good
102,1102,Charles Hall,50,Female,Married,27-05-2013,Research & Development,Senior Manager R&D,Medical,Very_High,Low,4,Low,6,Very_High,8,3,2,Good,good,Good,poor,13,No,Outstanding,1,8,Poor,good
103,1103,Lisa Jenkins,33,Female,Married,09-01-1999,Research & Development,Manufacturing Director,Medical,High,Medium,1,Low,20,Low,8,15,3,Bad,Excellent,Satisfactory,fair,11,Yes,good,0,5,Good,low
104,1104,Julia Jones,26,Female,Single,18-04-2009,Research & Development,Manager,Medical,High,Very_High,5,High,25,Very_High,9,24,4,Good,good,Satisfactory,Excellent,9,Yes,good,0,12,Good,low
105,1105,Anna Lopez,45,male,Married,20-06-2002,Sales,Sales Executive,Medical,High,Very_High,3,Medium,12,Medium,8,9,3,Bad,Verygood,Satisfactory,good,12,Yes,Excellent,1,4,Good,low
106,1106,William Wong,43,male,Married,11-09-2010,Sales,Sales Representative,Marketing,Medium,Low,4,Low,22,Very_High,9,18,1,Best,poor,Good,poor,12,Yes,Outstanding,0,3,Good,good
107,1107,Michelle Abbott,53,male,Single,03-03-2002,Development,Developer,Life Sciences,Medium,Very_High,1,Very_High,20,Low,8,12,6,Bad,Satisfactory,Excellent,fair,4,Yes,low,1,8,Good,Excellent
108,1108,Gregory Fowler,39,Female,Married,29-03-2014,Development,Developer,Life Sciences,Low,High,4,Medium,22,Low,9,19,3,Best,Verygood,Satisfactory,good,6,Yes,good,1,5,Good,low
109,1109,Bryan Cuevas,44,Female,Married,24-12-2005,Research & Development,Senior Manager R&D,Technical Degree,High,Low,5,High,20,High,9,14,6,Bad,poor,Good,satistfactory,4,Yes,low,0,11,Good,good
110,1110,Nicholas Davis,46,male,Married,15-06-2014,Research & Development,Laboratory Technician,Medical,Medium,Very_High,1,High,12,High,9,8,3,Bad,Satisfactory,Satisfactory,poor,14,No,good,0,8,Poor,low
111,1111,Marissa Tran,34,male,Single,09-08-2021,Research & Development,Senior Manager R&D,Other,Low,Low,4,Very_High,20,High,10,12,3,Good,In-adequate,Good,satistfactory,11,Yes,low,1,16,Good,good
112,1112,Lauren Tate,52,male,Single,24-03-1994,Research & Development,Healthcare Representative,Life Sciences,High,Low,1,High,20,Medium,8,13,2,Better,Satisfactory,Excellent,Excellent,11,No,low,1,14,Poor,Excellent
113,1113,Kevin Hurst,32,male,Married,04-12-1999,Research & Development,Senior Manager R&D,Technical Degree,Medium,High,3,High,25,Low,10,23,1,Bad,Verygood,Good,fair,6,Yes,low,1,11,Good,good
114,1114,Jeremy Johnson PhD,39,male,Married,24-01-2014,Development,Developer,Life Sciences,Very_High,Very_High,3,Very_High,6,Low,9,4,6,Best,good,Excellent,Excellent,10,No,Excellent,0,1,Poor,Excellent
115,1115,Amanda Graves,36,male,Married,06-09-2019,Development,Developer,Life Sciences,Medium,Very_High,4,Medium,20,Low,10,14,3,Bad,In-adequate,Outstanding,poor,14,No,good,1,1,Poor,Outstanding
116,1116,Jason Edwards,40,Female,Single,14-05-2006,Human Resources,Human Resources,Medical,Medium,High,5,Low,22,Low,8,20,1,Good,good,Excellent,fair,12,No,good,1,7,Poor,Excellent
117,1117,John Evans,32,male,Single,26-07-2005,Research & Development,Research Scientist,Medical,Medium,High,2,Very_High,22,Very_High,9,20,4,Good,poor,Outstanding,good,4,No,Excellent,0,3,Poor,Outstanding
118,1118,William Page,30,male,Single,13-11-2014,Development,Developer,Life Sciences,High,Very_High,4,High,22,High,8,17,4,Better,good,Outstanding,poor,4,No,Outstanding,0,13,Poor,Outstanding
119,1119,Vicki Mclean,51,male,Married,26-02-2007,Research & Development,Manager R&D,Technical Degree,High,Medium,5,High,22,High,8,20,4,Bad,good,Good,satistfactory,4,Yes,Outstanding,1,9,Good,good
120,1120,Meagan Ortega,23,Female,Married,28-06-2014,Research & Development,Manager R&D,Medical,High,High,4,Medium,12,Very_High,8,8,1,Better,Satisfactory,Satisfactory,good,10,No,good,1,11,Poor,low
121,1121,Micheal Garcia,59,male,Married,28-07-2004,Research & Development,Manager,Medical,Medium,High,5,High,20,Low,20,13,3,Good,In-adequate,Satisfactory,good,10,Yes,low,1,3,Good,low
122,1122,Jessica Barber,29,Female,Single,14-02-2005,Research & Development,Manager R&D,Medical,Very_High,Very_High,5,Low,25,Medium,8,25,3,Best,Verygood,Good,satistfactory,6,No,low,1,12,Poor,good
123,1123,Daniel Willis,22,male,Married,06-01-2018,Sales,Sales Executive,Other,Low,Very_High,5,Low,20,Low,10,14,5,Better,Satisfactory,Excellent,good,8,Yes,good,1,15,Good,Excellent
124,1124,Victor Anderson,22,male,Married,29-09-1994,Development,Developer,Life Sciences,Low,Medium,2,Very_High,22,Very_High,10,17,2,Better,Excellent,Satisfactory,good,7,No,Outstanding,1,16,Poor,low
125,1125,Erik Gentry,33,Female,Single,25-07-2020,Development,Developer,Life Sciences,Very_High,High,5,Very_High,20,Medium,9,13,4,Good,Excellent,Excellent,poor,7,Yes,Outstanding,1,7,Good,Excellent
126,1126,Nicholas Jordan,29,male,Single,27-06-2005,Research & Development,Manager R&D,Medical,Medium,Very_High,4,Very_High,6,Low,9,4,6,Best,In-adequate,Outstanding,Excellent,5,No,Excellent,0,7,Poor,Outstanding
127,1127,Claire Jones,47,Female,Married,03-08-2007,Sales,Sales Executive,Life Sciences,Low,High,5,Medium,20,Medium,10,14,3,Best,Satisfactory,Outstanding,satistfactory,13,Yes,Excellent,1,15,Good,Outstanding
